"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"Open","100241b0","Function","3","Toshi::TMemFile::Open","bool","bool Open(TMemFile * this\, TCString * param_1\, uint param_2)"
"?Open@TMemFile@Toshi@@IAE_NABVTCString@2@I@Z","100241b0","Function","3","Toshi::TMemFile::Open","","?Open@TMemFile@Toshi@@IAE_NABVTCString@2@I@Z"
"Ordinal_1318","10024260","Function","2","Toshi::TMemFile::Open","","Ordinal_1318"
"Open","10024260","Function","2","Toshi::TMemFile::Open","bool","bool Open(TMemFile * this\, TFile * param_1)"
"?Open@TMemFile@Toshi@@IAE_NPAVTFile@2@@Z","10024260","Function","2","Toshi::TMemFile::Open","","?Open@TMemFile@Toshi@@IAE_NPAVTFile@2@@Z"
"Ordinal_604","100242c0","Function","1","Toshi::TMemFile::Close","","Ordinal_604"
"Close","100242c0","Function","1","Toshi::TMemFile::Close","void","void Close(TMemFile * this)"
"?Close@TMemFile@Toshi@@IAEXXZ","100242c0","Function","1","Toshi::TMemFile::Close","","?Close@TMemFile@Toshi@@IAEXXZ"
"Ordinal_213","100242f0","Function","1","Toshi::TMemFile::~TMemFile","","Ordinal_213"
"~TMemFile","100242f0","Function","1","Toshi::TMemFile::~TMemFile","void","void ~TMemFile(TMemFile * this)"
"??1TMemFile@Toshi@@MAE@XZ","100242f0","Function","1","Toshi::TMemFile::~TMemFile","","??1TMemFile@Toshi@@MAE@XZ"
"Ordinal_70","10024300","Function","2","Toshi::TMemFile::TMemFile","","Ordinal_70"
"TMemFile","10024300","Function","2","Toshi::TMemFile::TMemFile","undefined","undefined TMemFile(TMemFile * this\, TMemFileSystem * param_1)"
"??0TMemFile@Toshi@@IAE@PAVTMemFileSystem@1@@Z","10024300","Function","2","Toshi::TMemFile::TMemFile","","??0TMemFile@Toshi@@IAE@PAVTMemFileSystem@1@@Z"
"Ordinal_1357","10024330","Function","2","Toshi::TMemFile::PutWChar","","Ordinal_1357"
"PutWChar","10024330","Function","2","Toshi::TMemFile::PutWChar","int","int PutWChar(TMemFile * this\, ushort param_1)"
"?PutWChar@TMemFile@Toshi@@UAEHG@Z","10024330","Function","2","Toshi::TMemFile::PutWChar","","?PutWChar@TMemFile@Toshi@@UAEHG@Z"
"Ordinal_1353","10024360","Function","2","Toshi::TMemFile::PutCChar","","Ordinal_1353"
"PutCChar","10024360","Function","2","Toshi::TMemFile::PutCChar","int","int PutCChar(TMemFile * this\, char param_1)"
"?PutCChar@TMemFile@Toshi@@UAEHD@Z","10024360","Function","2","Toshi::TMemFile::PutCChar","","?PutCChar@TMemFile@Toshi@@UAEHD@Z"
"Ordinal_1007","10024390","Function","1","Toshi::TMemFile::GetSize","","Ordinal_1007"
"GetSize","10024390","Function","1","Toshi::TMemFile::GetSize","int","int GetSize(TMemFile * this)"
"?GetSize@TMemFile@Toshi@@UAEHXZ","10024390","Function","1","Toshi::TMemFile::GetSize","","?GetSize@TMemFile@Toshi@@UAEHXZ"
"Ordinal_1604","100243a0","Function","1","Toshi::TMemFile::Tell","","Ordinal_1604"
"Tell","100243a0","Function","1","Toshi::TMemFile::Tell","int","int Tell(TMemFile * this)"
"?Tell@TMemFile@Toshi@@UAEHXZ","100243a0","Function","1","Toshi::TMemFile::Tell","","?Tell@TMemFile@Toshi@@UAEHXZ"
"Ordinal_1676","100243b0","Function","3","Toshi::TMemFile::Write","","Ordinal_1676"
"Write","100243b0","Function","3","Toshi::TMemFile::Write","int","int Write(TMemFile * this\, void * param_1\, int param_2)"
"?Write@TMemFile@Toshi@@UAEHPBXH@Z","100243b0","Function","3","Toshi::TMemFile::Write","","?Write@TMemFile@Toshi@@UAEHPBXH@Z"
"Ordinal_1232","100243c0","Function","2","Toshi::TMemFileSystem::MakeInternalPath","","Ordinal_1232"
"MakeInternalPath","100243c0","Function","2","Toshi::TMemFileSystem::MakeInternalPath","TCString","TCString MakeInternalPath(TMemFileSystem * this\, TCString * param_1)"
"?MakeInternalPath@TMemFileSystem@Toshi@@UBE?AVTCString@2@ABV32@@Z","100243c0","Function","2","Toshi::TMemFileSystem::MakeInternalPath","","?MakeInternalPath@TMemFileSystem@Toshi@@UBE?AVTCString@2@ABV32@@Z"
"Ordinal_1241","100243e0","Function","1","Toshi::TMemory::MapSizeToFreeList","","Ordinal_1241"
"MapSizeToFreeList","100243e0","Function","1","Toshi::TMemory::MapSizeToFreeList","uint","uint MapSizeToFreeList(uint param_1)"
